,,,Slide ID,a,c,e,b,d,f
,,,Antibody Name,a,c,e,b,d,f
,,,HUGO ID,a,c,e,b,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.585858585858587,0.008970925157030843,0.09810314546876699,0.09263541011022078,0.024164035785933076,0.003847551937926487,0.0036816307031718415
C1,no,Insulin,9.090909090909092,0.00882999876775971,0.09754503879677628,0.09201146083206448,0.023851819552739274,0.003762724726182556,0.003590501356520472
C1,no,Insulin,9.595959595959597,0.008723043575102172,0.09711555574351637,0.09152977798189152,0.02361432982501081,0.003698817949718414,0.003522126809498806
C1,no,Insulin,10.101010101010102,0.008641758759958805,0.09678569688252588,0.09115887909565536,0.023433534138132144,0.003650522860801629,0.0034706141081800802
C1,no,Insulin,10.606060606060607,0.008579917111762836,0.09653272158452882,0.09087385286942545,0.02329580926928505,0.0036139379848756513,0.003431682066349943
C1,no,Insulin,11.111111111111112,0.008532825461050553,0.09633891417635446,0.09065514696275372,0.02319083237058857,0.003586171161456884,0.0034021855839247795
C1,no,Insulin,11.616161616161618,0.008496944498677243,0.09619055862361756,0.09048752965401281,0.023110786986922597,0.003565068209864294,0.0033797979723772372
C1,no,Insulin,12.121212121212121,0.008469593946242833,0.09607706184870422,0.09035917804286538,0.023049739299679555,0.0035490123662385085,0.0033627814606678047
C1,no,Insulin,12.626262626262626,0.008448734194090745,0.09599028378123463,0.0902609670815595,0.023003160001905554,0.0035367853756716884,0.0033498328815404284
C1,no,Insulin,13.131313131313131,0.008432820161550413,0.09592396012528824,0.09018585302675604,0.022967616081912653,0.003527468280656313,0.003339971676477682
C1,no,Insulin,13.636363636363637,0.00842068017009853,0.09587324425271104,0.09012841650586839,0.02294049150968854,0.003520365772047171,0.0033324575425513017
C1,no,Insulin,14.141414141414142,0.008411413335210479,0.09583450472691338,0.09008452186754039,0.022919779555310063,0.003514947648619373,0.0033267273483511724
C1,no,Insulin,14.646464646464647,0.008404342526499691,0.09580491720857048,0.09005098867935052,0.022903978270978283,0.0035108162452170146,0.003322359178478185
C1,no,Insulin,15.151515151515152,0.008398944248979976,0.09578231950295016,0.09002536840937295,0.02289191191243743,0.0035076631784065363,0.003319026073319552
C1,no,Insulin,15.656565656565657,0.008394823304292622,0.09576505694342557,0.0900057962070913,0.022882699811912714,0.0035052568625157576,0.003316482733590642
C1,no,Insulin,16.161616161616163,0.008391676713181502,0.09575187013058482,0.08999084382441434,0.022875665403315953,0.00350341990003782,0.0033145413869679133
C1,no,Insulin,16.666666666666668,0.008389273903284674,0.09574179762511174,0.08997942143808185,0.022870293618561983,0.0035020174009765203,0.003313059321239588
C1,no,Insulin,17.171717171717173,0.008387439932489396,0.09573410622516695,0.08997070024802747,0.02286619318082621,0.0035009470746442824,0.0033119283548587114
C1,no,Insulin,17.67676767676768,0.008386039323433691,0.09572823226947672,0.08996403860303234,0.02286306146880572,0.003500129707438215,0.003311064714704041
C1,no,Insulin,18.181818181818183,0.008384970257235037,0.09572374900701239,0.08995895276006696,0.02286067168960052,0.003499505914811735,0.003310405632255649
C1,no,Insulin,18.68686868686869,0.008384155201239914,0.0957203276057778,0.08995507431399861,0.022858849392368277,0.0034990303668220413,0.0033099032008104684
C1,no,Insulin,19.191919191919194,0.008383534062072154,0.0957177222870742,0.0899521190065575,0.02285746048470838,0.0034986679512223977,0.0033095203037869325
C1,no,Insulin,19.6969696969697,0.008383058941487585,0.09571573003266944,0.08994985853685819,0.02285639793894064,0.0034983907242816703,0.0033092274130043973
C1,no,Insulin,20.202020202020204,0.008382695408818842,0.09571420479061005,0.08994812860051372,0.022855584985988074,0.0034981786182857635,0.0033090033255453047
C1,no,Insulin,20.70707070707071,0.008382417463569889,0.09571303803883148,0.08994680569583705,0.022854963501061424,0.0034980164620286272,0.0033088320118821934
C1,no,Insulin,21.212121212121215,0.00838220467140336,0.09571214503023885,0.08994579293040325,0.02285448773341394,0.0034978923229285097,0.0033087008637801103
C1,no,Insulin,21.71717171717172,0.008382041425308705,0.09571146030458501,0.08994501606729044,0.022854122732964145,0.0034977970875031527,0.0033086002517891747
C1,no,Insulin,22.222222222222225,0.008381916831693785,0.09571093767175426,0.08994442312893583,0.02285384411706078,0.003497724397575352,0.0033085234581837564
C1,no,Insulin,22.72727272727273,0.008381822142537574,0.09571054017433873,0.08994397240805678,0.022853632360784897,0.0034976691539789022,0.0033084650959953584
C1,no,Insulin,23.232323232323235,0.008381750042439153,0.09571023741957017,0.08994362917852058,0.022853471151181522,0.0034976270932635567,0.003308420661211588
C1,no,Insulin,23.73737373737374,0.008381694938312456,0.09571000605883294,0.08994336686044425,0.022853347968450975,0.0034975949504214114,0.0033083867043258324
C1,no,Insulin,24.242424242424242,0.008381652760980329,0.09570982909726711,0.08994316611595014,0.02285325367655435,0.0034975703469402723,0.003308360712292392
C1,no,Insulin,24.747474747474747,0.008381620224048694,0.0957096926673002,0.08994301128087175,0.02285318093398531,0.0034975513665456226,0.003308340660685154
C1,no,Insulin,25.252525252525253,0.008381595416263045,0.0957095886721364,0.08994289323704201,0.02285312545178795,0.003497536892673155,0.003308325369834136
C1,no,Insulin,25.757575757575758,0.008381576218007284,0.09570950819784002,0.08994280188807624,0.022853082509042718,0.0034975256909052905,0.0033083135357357962
C1,no,Insulin,26.262626262626263,0.008381561793948406,0.09570944765694431,0.08994273323195794,0.022853050242774398,0.0034975172747051145,0.0033083046444455076
C1,no,Insulin,26.767676767676768,0.008381550755789694,0.09570940130964425,0.08994268068634573,0.022853025552610682,0.003497510834379946,0.003308297840578089
C1,no,Insulin,27.272727272727273,0.008381542518246321,0.09570936669970713,0.08994264146436916,0.022853007135530835,0.003497506029153392,0.0033082927641677647
C1,no,Insulin,27.77777777777778,0.00838153628015505,0.09570934050146129,0.08994261176521462,0.02285299319165974,0.0034975023905860674,0.003308288920279828
C1,no,Insulin,28.282828282828284,0.008381531525737168,0.09570932052975817,0.08994258912771365,0.022852982568075057,0.0034974996178754334,0.0033082859911357705
C1,no,Insulin,28.78787878787879,0.008381527869255782,0.09570930515287052,0.08994257171292565,0.022852974397184155,0.003497497485440417,0.0033082837383886115
C1,no,Insulin,29.292929292929294,0.008381525069459038,0.09570929338256723,0.08994255838002628,0.02285296813788064,0.003497495852291903,0.0033082820130804474
C1,no,Insulin,29.7979797979798,0.008381522876109819,0.09570928419818579,0.08994254794525834,0.022852963237855226,0.0034974945731971003,0.0033082806618259597
C1,no,Insulin,30.303030303030305,0.008381521256672091,0.09570927746451485,0.08994254025465151,0.022852959621262027,0.0034974936288191785,0.0033082796641771043
C1,no,Insulin,30.80808080808081,0.008381519960663223,0.09570927205327796,0.08994253409476281,0.02285295672032253,0.0034974928723561106,0.003308278865005498
C1,no,Insulin,31.313131313131315,0.008381519036479169,0.09570926814327056,0.08994252968911881,0.022852954641125117,0.003497492331863165,0.0033082782939395914
C1,no,Insulin,31.81818181818182,0.00838151832124964,0.0957092651442752,0.08994252628675807,0.02285295303546712,0.0034974919138851274,0.0033082778523322513
C1,no,Insulin,32.323232323232325,0.00838151781489077,0.09570926307017974,0.08994252389019589,0.02285295190921194,0.003497491619015633,0.0033082775408428537
C1,no,Insulin,32.82828282828283,0.008381517461978847,0.09570926163982668,0.08994252222357169,0.02285295112801892,0.0034974914138868845,0.00330827732417161
C1,no,Insulin,33.333333333333336,0.008381517222261678,0.09570926059517841,0.08994252107352038,0.022852950581222994,0.003497491272943608,0.0033082771752230913
C1,no,Insulin,33.83838383838384,0.00838151705662248,0.09570925987505152,0.08994252027906754,0.02285295020484561,0.0034974911757155,0.0033082770724814645
C1,no,Insulin,34.343434343434346,0.008381516926095687,0.09570925943506556,0.08994251968402464,0.022852949938162326,0.003497491102097273,0.0033082769948268244
C1,no,Insulin,34.84848484848485,0.008381516842674679,0.09570925916362576,0.0899425193060135,0.02285294977053824,0.0034974910553385364,0.0033082769455197183
C1,no,Insulin,35.35353535353536,0.008381516795396272,0.0957092589794168,0.08994251908435588,0.022852949668773534,0.00349749102816772,0.003308276916837509
C1,no,Insulin,35.85858585858586,0.008381516773297282,0.0957092588011234,0.0899425189583735,0.0228529495996684,0.003497491013313252,0.003308276901057559
C1,no,Insulin,36.36363636363637,0.00838151677478529,0.09570925883056759,0.08994251897085012,0.02285294960973427,0.0034974910148763178,0.003308276902743229
C1,no,Insulin,36.86868686868687,0.008381516785609047,0.09570925888708536,0.08994251902480416,0.022852949637801837,0.0034974910215948138,0.0033082769098609056
C1,no,Insulin,37.37373737373738,0.00838151679567646,0.09570925891568145,0.08994251906917508,0.022852949658081136,0.0034974910272543647,0.003308276915830042
C1,no,Insulin,37.87878787878788,0.008381516795107291,0.09570925886776172,0.08994251905524135,0.02285294964658428,0.003497491025897707,0.0033082769143478485
C1,no,Insulin,38.38383838383839,0.008381516796728345,0.09570925882807285,0.08994251905148475,0.022852949639787446,0.0034974910257982122,0.003308276914192311
C1,no,Insulin,38.88888888888889,0.00838151681084644,0.09570925886656365,0.08994251911338004,0.022852949667456622,0.0034974910336499623,0.003308276922467779
C1,no,Insulin,39.3939393939394,0.00838151681815974,0.09570925887931415,0.08994251914357575,0.0228529496805162,0.003497491037591123,0.0033082769266141523
C1,no,Insulin,39.8989898989899,0.008381516814394712,0.09570925885065411,0.0899425191222896,0.022852949669907786,0.003497491035178189,0.0033082769240523114
C1,no,Insulin,40.40404040404041,0.008381516790471643,0.09570925875545842,0.08994251900961378,0.022852949617922384,0.0034974910213752893,0.0033082769094768673
C1,no,Insulin,40.909090909090914,0.008381516790802776,0.09570925874122978,0.08994251900714552,0.02285294961581069,0.0034974910212837527,0.0033082769093635282
C1,no,Insulin,41.41414141414142,0.0083815167866655,0.0957092587148451,0.08994251898509645,0.02285294960498564,0.00349749101871315,0.00330827690663819
C1,no,Insulin,41.919191919191924,0.008381516778059815,0.0957092586763044,0.08994251894346654,0.022852949585447226,0.0034974910136634815,0.003308276901300853
C1,no,Insulin,42.42424242424243,0.008381516764985721,0.0957092586256077,0.08994251888225582,0.02285294955719545,0.003497491006134746,0.0033082768933515175
C1,no,Insulin,42.929292929292934,0.008381516768522944,0.09570925862456765,0.0899425188949912,0.022852949562161697,0.0034974910079044927,0.0033082768952042885
C1,no,Insulin,43.43434343434344,0.008381516783108892,0.09570925865687292,0.08994251895699248,0.022852949589280965,0.0034974910158648204,0.003308276903583289
C1,no,Insulin,43.939393939393945,0.008381516796216276,0.09570925868578938,0.08994251901267836,0.022852949613634217,0.003497491023016551,0.0033082769111110466
C1,no,Insulin,44.44444444444445,0.008381516807845095,0.09570925871131702,0.0899425190620488,0.022852949635221446,0.0034974910293596854,0.0033082769177875614
C1,no,Insulin,44.949494949494955,0.00838151681799535,0.09570925873345586,0.08994251910510381,0.022852949654042658,0.0034974910348942226,0.003308276923612833
C1,no,Insulin,45.45454545454546,0.00838151682666704,0.09570925875220589,0.08994251914184341,0.02285294967009785,0.0034974910396201636,0.003308276928586862
C1,no,Insulin,45.959595959595966,0.008381516833860167,0.0957092587675671,0.08994251917226759,0.02285294968338702,0.0034974910435375075,0.003308276932709648
C1,no,Insulin,46.46464646464647,0.008381516839574728,0.0957092587795395,0.08994251919637634,0.022852949693910177,0.003497491046646255,0.0033082769359811907
C1,no,Insulin,46.969696969696976,0.008381516843810725,0.09570925878812309,0.0899425192141697,0.02285294970166731,0.0034974910489464057,0.003308276938401491
C1,no,Insulin,47.47474747474748,0.008381516846568158,0.09570925879331786,0.08994251922564761,0.022852949706658424,0.00349749105043796,0.003308276939970548
C1,no,Insulin,47.979797979797986,0.008381516847847026,0.09570925879512383,0.0899425192308101,0.02285294970888352,0.003497491051120917,0.003308276940688362
C1,no,Insulin,48.484848484848484,0.00838151684764733,0.09570925879354099,0.0899425192296572,0.022852949708342594,0.003497491050995278,0.0033082769405549336
C1,no,Insulin,48.98989898989899,0.008381516845969068,0.09570925878856933,0.08994251922218885,0.022852949705035652,0.003497491050061042,0.0033082769395702616
C1,no,Insulin,49.494949494949495,0.008381516842812242,0.09570925878020886,0.08994251920840508,0.022852949698962687,0.0034974910483182094,0.003308276937734347
C1,no,Insulin,50.0,0.008381516838176851,0.09570925876845958,0.08994251918830591,0.022852949690123706,0.00349749104576678,0.0033082769350471896
