,,,Slide ID,c,i,f,b,a,h,d,g,e
C1,no,Insulin,46.97986577181208,0.12194286098851834,0.15644039828341924,0.145963829091605,0.21777931952107155,0.10567488358017305,0.19268932617788342,0.20130325036470326,0.12423425882450242,0.2104331763527393
C1,no,Insulin,47.31543624161074,0.12194286098851834,0.15644039828341924,0.145963829091605,0.21777931952107263,0.10567488358017188,0.19268932617788342,0.20130325036470065,0.12423425882450786,0.21043317635273823
C1,no,Insulin,47.6510067114094,0.12194286098851834,0.15644039828341924,0.145963829091605,0.2177793195210737,0.1056748835801707,0.19268932617788342,0.201303250364698,0.1242342588245133,0.21043317635273714
C1,no,Insulin,47.986577181208055,0.12194286098851834,0.15644039828341924,0.145963829091605,0.21777931952107482,0.10567488358016953,0.19268932617788342,0.20130325036469537,0.12423425882451875,0.21043317635273603
C1,no,Insulin,48.322147651006716,0.12194286098851835,0.15644039828341924,0.145963829091605,0.2177793195210759,0.10567488358016837,0.19268932617788342,0.20130325036469274,0.12423425882452419,0.21043317635273495
C1,no,Insulin,48.65771812080537,0.12194286098851835,0.15644039828341924,0.14596382909160502,0.21777931952107699,0.10567488358016719,0.1926893261778834,0.2013032503646901,0.12423425882452963,0.21043317635273384
C1,no,Insulin,48.99328859060403,0.12194286098851835,0.15644039828341924,0.14596382909160502,0.21777931952107807,0.10567488358016602,0.1926893261778834,0.20130325036468746,0.12423425882453507,0.21043317635273276
C1,no,Insulin,49.328859060402685,0.12194286098851835,0.15644039828341924,0.14596382909160502,0.21777931952107915,0.10567488358016484,0.1926893261778834,0.20130325036468483,0.1242342588245405,0.21043317635273168
C1,no,Insulin,49.664429530201346,0.12194286098851835,0.15644039828341924,0.14596382909160502,0.21777931952108026,0.10567488358016368,0.1926893261778834,0.20130325036468222,0.12423425882454595,0.21043317635273057
C1,no,Insulin,50.0,0.12194286098851835,0.15644039828341924,0.14596382909160502,0.21777931952108134,0.1056748835801625,0.1926893261778834,0.20130325036467958,0.12423425882455139,0.21043317635272948
