,,,Slide ID,b,d,c,a
,,,Antibody Name,b,d,c,a
,,,HUGO ID,b,d,c,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,23.73737373737374,0.1967018338830516,0.30380157195874524,0.13759865244022124,0.23068291702771912
C1,no,Insulin,24.242424242424242,0.1967018338811893,0.30380157195823215,0.1375986524400396,0.23068291702549865
C1,no,Insulin,24.747474747474747,0.19670183387932705,0.3038015719577191,0.13759865243985797,0.23068291702327817
C1,no,Insulin,25.252525252525253,0.1967018338774648,0.30380157195720603,0.13759865243967634,0.2306829170210577
C1,no,Insulin,25.757575757575758,0.1967018338756025,0.30380157195669294,0.13759865243949468,0.23068291701883722
C1,no,Insulin,26.262626262626263,0.19670183387374024,0.3038015719561799,0.13759865243931305,0.23068291701661675
C1,no,Insulin,26.767676767676768,0.19670183387187795,0.3038015719556668,0.1375986524391314,0.23068291701439628
C1,no,Insulin,27.272727272727273,0.1967018338700157,0.3038015719551538,0.13759865243894978,0.2306829170121758
C1,no,Insulin,27.77777777777778,0.19670183386815343,0.3038015719546407,0.13759865243876812,0.23068291700995533
C1,no,Insulin,28.282828282828284,0.19670183386629114,0.3038015719541276,0.1375986524385865,0.23068291700773486
C1,no,Insulin,28.78787878787879,0.19670183386442888,0.30380157195361457,0.13759865243840486,0.23068291700551438
C1,no,Insulin,29.292929292929294,0.19670183386256662,0.3038015719531015,0.13759865243822322,0.2306829170032939
C1,no,Insulin,29.7979797979798,0.19670183386070433,0.30380157195258845,0.13759865243804156,0.23068291700107343
C1,no,Insulin,30.303030303030305,0.19670183385884207,0.30380157195207536,0.13759865243785993,0.23068291699885296
C1,no,Insulin,30.80808080808081,0.19670183385697979,0.30380157195156227,0.1375986524376783,0.2306829169966325
C1,no,Insulin,31.313131313131315,0.19670183385511752,0.30380157195104923,0.13759865243749667,0.23068291699441204
C1,no,Insulin,31.81818181818182,0.19670183385325526,0.30380157195053614,0.137598652437315,0.23068291699219157
C1,no,Insulin,32.323232323232325,0.19670183385139298,0.3038015719500231,0.13759865243713337,0.2306829169899711
C1,no,Insulin,32.82828282828283,0.19670183384953072,0.30380157194951,0.13759865243695174,0.23068291698775062
C1,no,Insulin,33.333333333333336,0.19670183384766846,0.30380157194899693,0.1375986524367701,0.23068291698553015
C1,no,Insulin,33.83838383838384,0.19670183384580617,0.3038015719484839,0.13759865243658845,0.23068291698330967
C1,no,Insulin,34.343434343434346,0.1967018338439439,0.3038015719479708,0.13759865243640682,0.2306829169810892
C1,no,Insulin,34.84848484848485,0.19670183384208162,0.3038015719474577,0.13759865243622518,0.23068291697886872
C1,no,Insulin,35.35353535353536,0.1967018338405893,0.30380157194704765,0.13759865243608038,0.23068291697708704
C1,no,Insulin,35.85858585858586,0.1967018338405361,0.3038015719470383,0.137598652436079,0.23068291697701243
C1,no,Insulin,36.36363636363637,0.1967018338404829,0.30380157194702884,0.1375986524360776,0.2306829169769378
C1,no,Insulin,36.86868686868687,0.1967018338404297,0.30380157194701946,0.13759865243607622,0.23068291697686316
C1,no,Insulin,37.37373737373738,0.19670183384037648,0.30380157194701,0.13759865243607483,0.23068291697678853
C1,no,Insulin,37.87878787878788,0.19670183384032328,0.3038015719470006,0.13759865243607344,0.2306829169767139
C1,no,Insulin,38.38383838383839,0.19670183384027007,0.3038015719469912,0.13759865243607206,0.23068291697663926
C1,no,Insulin,38.88888888888889,0.19670183384021686,0.30380157194698176,0.13759865243607064,0.23068291697656465
C1,no,Insulin,39.3939393939394,0.19670183384016365,0.3038015719469724,0.13759865243606925,0.23068291697649002
C1,no,Insulin,39.8989898989899,0.19670183384011045,0.30380157194696294,0.13759865243606786,0.23068291697641538
C1,no,Insulin,40.40404040404041,0.19670183384005724,0.30380157194695356,0.13759865243606648,0.23068291697634075
C1,no,Insulin,40.909090909090914,0.19670183384000403,0.3038015719469441,0.1375986524360651,0.2306829169762661
C1,no,Insulin,41.41414141414142,0.19670183383995082,0.30380157194693475,0.1375986524360637,0.23068291697619148
C1,no,Insulin,41.919191919191924,0.19670183383989762,0.3038015719469253,0.1375986524360623,0.23068291697611687
C1,no,Insulin,42.42424242424243,0.1967018338398444,0.3038015719469159,0.1375986524360609,0.23068291697604223
C1,no,Insulin,42.929292929292934,0.1967018338397912,0.3038015719469065,0.1375986524360595,0.2306829169759676
C1,no,Insulin,43.43434343434344,0.196701833839738,0.3038015719468971,0.13759865243605812,0.23068291697589297
