,,,Slide ID,b,e,f,a,c,d
,,,Antibody Name,b,e,f,a,c,d
,,,HUGO ID,b,e,f,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,16.778523489932887,0.02788188962181924,0.03391735802942843,0.1080360835615779,0.02932527541911667,0.08050087059642251,0.11257112359347995
C1,no,Insulin,17.114093959731544,0.02788188632295823,0.03391735436275682,0.10803607540355038,0.029325272445576096,0.08050086248961086,0.11257111640961866
C1,no,Insulin,17.449664429530202,0.02788188375853488,0.033917351512393897,0.10803606906175807,0.02932527013405289,0.08050085618596203,0.11257111082508263
C1,no,Insulin,17.78523489932886,0.027881881790246282,0.0339173493245975,0.1080360641914071,0.029325268359949253,0.08050085134581121,0.11257110653344315
C1,no,Insulin,18.120805369127517,0.027881880344125903,0.03391734771719818,0.10803606061223432,0.029325267056518438,0.08050084778973644,0.11257110337867136
C1,no,Insulin,18.456375838926174,0.027881879294709852,0.033917346550694005,0.10803605801050216,0.029325266110762967,0.0805008452073204,0.11257110108096287
C1,no,Insulin,18.79194630872483,0.02788187857129217,0.03391734574654779,0.10803605621519463,0.029325265458847147,0.08050084342704607,0.11257109949362976
C1,no,Insulin,19.12751677852349,0.027881878098290156,0.033917345220857494,0.10803605504752715,0.029325265032426065,0.08050084226752453,0.11257109846750833
C1,no,Insulin,19.46308724832215,0.02788187786105398,0.0339173449571511,0.10803605445723168,0.029325264818668602,0.08050084168523351,0.11257109794404721
C1,no,Insulin,19.798657718120808,0.027881877713479282,0.03391734479314089,0.10803605409203318,0.029325264685644354,0.08050084132460995,0.11257109762222249
C1,no,Insulin,20.134228187919465,0.027881877560675027,0.033917344623366735,0.1080360537188179,0.029325264547783114,0.08050084095232878,0.11257109729832619
C1,no,Insulin,20.469798657718123,0.02788187749775734,0.03391734455347328,0.10803605356562067,0.029325264491003495,0.08050084080008296,0.11257109716586766
C1,no,Insulin,20.80536912751678,0.027881877412964388,0.0339173444592515,0.1080360533582108,0.029325264414514343,0.08050084059284943,0.11257109698554241
C1,no,Insulin,21.140939597315437,0.027881877297278205,0.033917344330673886,0.10803605307382719,0.029325264310198284,0.08050084030834655,0.11257109673684115
C1,no,Insulin,21.476510067114095,0.027881877192366105,0.033917344214068626,0.10803605281577752,0.02932526421560146,0.0805008400501955,0.11257109651101462
C1,no,Insulin,21.812080536912752,0.02788187709772664,0.033917344108864746,0.10803605258173109,0.02932526413030035,0.08050083981652441,0.11257109630490145
C1,no,Insulin,22.14765100671141,0.027881877001520623,0.03391734400190968,0.1080360523429315,0.029325264043609647,0.0805008395785357,0.11257109609370966
C1,no,Insulin,22.483221476510067,0.02788187692438509,0.03391734391615963,0.10803605215165803,0.02932526397409761,0.08050083938788347,0.11257109592474311
C1,no,Insulin,22.818791946308725,0.027881876883579706,0.03391734387079896,0.10803605205029583,0.029325263937327855,0.0805008392871681,0.11257109583502613
C1,no,Insulin,23.154362416107382,0.027881876730094853,0.03391734370015507,0.10803605166824436,0.029325263799050233,0.08050083890706504,0.11257109549605637
C1,no,Insulin,23.48993288590604,0.027881876565468422,0.033917343517123985,0.1080360512584078,0.029325263650736025,0.08050083849938754,0.11257109513238299
C1,no,Insulin,23.8255033557047,0.027881876430862432,0.033917343367473464,0.10803605092344083,0.02932526352946312,0.08050083816626968,0.11257109483528308
C1,no,Insulin,24.161073825503358,0.02788187634743656,0.03391734327473187,0.1080360507162209,0.029325263454289045,0.08050083796025734,0.11257109465188118
C1,no,Insulin,24.496644295302016,0.027881876336350486,0.03391734326242756,0.10803605068962548,0.029325263444271336,0.08050083793389635,0.11257109462930183
C1,no,Insulin,24.832214765100673,0.027881876418763888,0.03391734335408891,0.10803605089653205,0.029325263518467516,0.0805008381397326,0.11257109481466958
C1,no,Insulin,25.16778523489933,0.027881876383551357,0.03391734331494869,0.1080360508091505,0.029325263486734324,0.08050083805304939,0.11257109473741761
C1,no,Insulin,25.503355704697988,0.02788187635529782,0.033917343283541714,0.10803605073890131,0.029325263461276216,0.08050083798341949,0.1125710946751732
C1,no,Insulin,25.838926174496645,0.027881876350923564,0.033917343278682247,0.10803605072806431,0.029325263457332645,0.08050083797285326,0.11257109466561264
C1,no,Insulin,26.174496644295303,0.02788187637469525,0.033917343305114,0.1080360507872877,0.029325263478746935,0.08050083803191495,0.11257109471821115
C1,no,Insulin,26.51006711409396,0.02788187643087954,0.03391734336758069,0.1080360509272197,0.02932526352936241,0.08050083817116875,0.11257109484244399
C1,no,Insulin,26.845637583892618,0.027881876523743084,0.03391734347082605,0.10803605115850848,0.02932526361302239,0.08050083840117891,0.11257109504778635
C1,no,Insulin,27.181208053691275,0.027881876566567876,0.033917343518435734,0.10803605126492309,0.02932526365160918,0.08050083850714448,0.11257109514201491
C1,no,Insulin,27.516778523489933,0.02788187661126514,0.03391734356812539,0.10803605137591808,0.02932526369188539,0.08050083861764325,0.11257109524022534
C1,no,Insulin,27.85234899328859,0.027881876656537692,0.03391734361845276,0.1080360514882677,0.029325263732682315,0.08050083872945804,0.11257109533955874
C1,no,Insulin,28.18791946308725,0.027881876700489385,0.033917343667309675,0.10803605159725259,0.029325263772291683,0.08050083883788807,0.11257109543582837
C1,no,Insulin,28.52348993288591,0.027881876741224075,0.033917343712587956,0.10803605169815339,0.029325263809005225,0.08050083893823258,0.11257109552484752
C1,no,Insulin,28.859060402684566,0.027881876777160638,0.033917343752529895,0.10803605178704344,0.029325263841398205,0.08050083902658352,0.11257109560314148
C1,no,Insulin,29.194630872483224,0.02788187681413548,0.03391734379362973,0.10803605187866076,0.02932526387472209,0.08050083911769976,0.11257109568400087
C1,no,Insulin,29.53020134228188,0.027881876846045164,0.03391734382909869,0.1080360519576992,0.029325263903481807,0.0805008391962925,0.1125710957537295
C1,no,Insulin,29.86577181208054,0.0278818768715428,0.03391734385743966,0.10803605202082152,0.029325263926463455,0.08050083925904321,0.11257109580938213
C1,no,Insulin,30.201342281879196,0.027881876889281502,0.0339173438771555,0.10803605206469044,0.029325263942453123,0.08050083930263335,0.11257109584801345
