NON $ % + - . 0 1 2 3 4
#NON	g	d	i	e	a	j	f	h	b	c
4.201680672268908	0.08058616536853837	0.21193144967685462	0.16008612957177326	0.06709723562560063	0.14624254218786353	0.019980269298916997	0.02215457301418019	0.1894457688187333	0.08373327954708776	0.16883590422056768
4.621848739495799	0.07832227392921619	0.21275573091341957	0.161092477138655	0.06505530548715245	0.1471075469196373	0.0198069648917831	0.021164809667639624	0.18978867298987634	0.08106946531916986	0.16992157787691956
5.042016806722689	0.07672399124708554	0.21341817416182315	0.16192224843132508	0.06363973482164875	0.1478225352082285	0.01972503656196259	0.02051085856204649	0.19007411407153674	0.07921267311562905	0.17077470070838527
5.46218487394958	0.07561797741346064	0.21393466352304732	0.16258589567080228	0.0626775868247716	0.14839300129266758	0.019690061943708387	0.02008290883538817	0.19030375961251816	0.07793156346337254	0.1714265039465924
5.882352941176471	0.07486606577602326	0.21432714821525087	0.16310264292776427	0.062034384036076966	0.14883518522057715	0.01967842724707005	0.019805356370525065	0.19048320860193238	0.07705782051608574	0.1719124763093558
6.302521008403361	0.07436275908501466	0.2146189723145546	0.1634957305032369	0.06161041675650781	0.1491697514776058	0.019677700844875835	0.019626899932677522	0.1906199791517474	0.07646884463667329	0.17226731697264666
6.722689075630252	0.07403043664897756	0.21483195788023965	0.1637887576392055	0.06133437592090324	0.1494177614625052	0.01968148081434818	0.019513149115979973	0.19072201586084725	0.07607629824332596	0.17252184165445084
7.142857142857143	0.07381365953882416	0.21498494399119328	0.16400338360548183	0.06115660797948411	0.14959841197606524	0.019686594777008085	0.019441273582518667	0.19079675106390911	0.07581745244958603	0.17270166167363554
7.563025210084033	0.0736738431127092	0.21509331872677506	0.16415818263641305	0.06104331855922395	0.14972801166018565	0.01969158578218049	0.019396284113326882	0.19085062286773358	0.07564852483465459	0.17282704707477756
7.983193277310924	0.07358461463069708	0.2151691611273717	0.16426832657517407	0.060971842713493124	0.14981975635746209	0.01969587361998792	0.01936840248906851	0.19088891742445294	0.0755393617330739	0.17291348049387517
8.403361344537815	0.07352827538790468	0.21522166036441456	0.16434575336076837	0.06092722395493238	0.14988393680296863	0.019699312506929256	0.019351316500635873	0.19091580446933232	0.07546951552271365	0.1729724531720429
8.823529411764707	0.07349305940787591	0.21525764738084027	0.1643995927235378	0.06089965417798236	0.14992836008308075	0.019701950856078804	0.01934096748842131	0.19093447438322722	0.07542524183681332	0.173012323500763
9.243697478991598	0.0734712858181938	0.2152820965059493	0.16443666672995452	0.06088280804215177	0.14995881651764234	0.01970391767622347	0.019334793041831794	0.19094731207957938	0.07539745942539484	0.1730390548304812
9.663865546218487	0.07345799400664495	0.21529856934202635	0.1644619646038241	0.06087267220868322	0.149979511615185	0.019705348897575695	0.019331171060849552	0.19095605784110062	0.07538021325683825	0.17305683362412172
10.084033613445378	0.07344998470962988	0.21530957899102443	0.16447908065113098	0.06086665477248952	0.14999345687942064	0.01970637257729002	0.01932909188998533	0.19096196594678572	0.07536962912612628	0.17306856707592505
10.504201680672269	0.07344523548234712	0.21531688194566279	0.1644905687636067	0.06086315218658321	0.15000278000429218	0.01970709378840004	0.019327931019754396	0.1909659251491242	0.07536321751276549	0.17307625345983454
10.92436974789916	0.07344246621447927	0.21532169711748977	0.16449823065640465	0.060861155969370834	0.1500089741768046	0.019707596107091305	0.019327305425685042	0.19096856152243832	0.0753593830474495	0.17308125895313495
11.344537815126051	0.07344090304419017	0.21532483393533328	0.16450328030389105	0.060860063549525736	0.1500130406419529	0.019707941000318755	0.019326990668271548	0.1909702961780128	0.07535714736753715	0.17308447803883706
11.764705882352942	0.07344003693382647	0.21532687470921422	0.1645066022777755	0.06085948291565565	0.15001570586586965	0.019708176354187524	0.01932684389196877	0.19097143550187615	0.07535585768056244	0.17308654611777832
12.184873949579831	0.07343958094770905	0.2153281897174982	0.16450876777791076	0.06085919675852869	0.15001743655144067	0.01970833540940891	0.019326788545121737	0.1909721769498729	0.07535513837975844	0.17308786096312925
12.605042016806722	0.07343935817685453	0.21532902876271887	0.16451016616897385	0.06085907288011316	0.1500185497060872	0.019708441814206914	0.01932677939828743	0.19097265490973733	0.07535475416934269	0.17308868803143582
13.025210084033613	0.07343925862940655	0.21532956377175558	0.1645110682659565	0.06085903045501552	0.15001926503328833	0.019708512710332447	0.019326789856667217	0.1909729627086134	0.07535455588440475	0.17308920798266605
13.445378151260504	0.07343922598816378	0.21532990115347936	0.1645116445248486	0.060859029632334694	0.15001972004930123	0.01970855958243034	0.019326808008723554	0.19097315895678077	0.075354463952638	0.17308953061109
13.865546218487395	0.07343922728784957	0.21533011122493018	0.16451200864688975	0.0608590477325746	0.15002000619352762	0.019708590325007633	0.019326827612070194	0.19097328270495587	0.07535443046380709	0.1730897277342656
14.285714285714286	0.07343924265851345	0.2153302403931103	0.16451223613721058	0.06085907139328229	0.1500201840507595	0.019708610271721987	0.01932684525186613	0.19097335985910552	0.07535442590846236	0.17308984640442218
14.705882352941178	0.07343926077085494	0.21533032039055938	0.16451237915490158	0.0608590934303748	0.15002029532859898	0.019708623233729714	0.01932685946103347	0.19097340827904663	0.07535443256582373	0.17308991839805288
15.126050420168067	0.07343927813644396	0.21533036911041492	0.1645124677979832	0.060859112306025684	0.15002036391126417	0.019708631575902465	0.019326870535584125	0.1909734382134454	0.07535444360140714	0.17308996112990077
15.546218487394958	0.07343929371853465	0.2153303978871629	0.164512521430039	0.06085912805097511	0.15002040508906853	0.019708636884802327	0.019326879118781986	0.1909734562293948	0.07535445597693675	0.1730899854311516
15.966386554621849	0.07343930711293072	0.21533041434975145	0.16451255318726982	0.06085914091954325	0.15002042921227662	0.019708640249678402	0.01932688575585053	0.19097346678765553	0.07535446798453377	0.1730899985456507
16.386554621848738	0.07343931770453817	0.21533042319592258	0.1645125711063993	0.06085915072743197	0.15002044263126346	0.019708642307909863	0.019326890630946496	0.19097347267249143	0.07535447818218918	0.17309000500029564
16.80672268907563	0.07343932567161314	0.21533042794078935	0.16451258134047234	0.06085915790187485	0.15002045017128104	0.019708643576752602	0.019326894120964788	0.1909734760482579	0.07535448617534256	0.1730900080704074
17.22689075630252	0.07343933158123214	0.21533042997733035	0.1645125863982452	0.06085916308703334	0.15002045377321224	0.019708644295269275	0.019326896567906596	0.1909734777805608	0.07535449234303918	0.17309000896506935
17.647058823529413	0.0734393358234489	0.21533043067686006	0.16451258870497898	0.06085916677354515	0.15002045532068925	0.019708644690946433	0.019326898248373085	0.1909734786588777	0.07535449688671653	0.17309000890150758
18.067226890756302	0.07343933872494901	0.21533043094156937	0.16451258986780645	0.060859169343315346	0.1500204560550726	0.019708644923108507	0.019326899374926793	0.19097347914565677	0.07535450002775188	0.17309000866303362
18.487394957983195	0.07343934066037089	0.21533043105362812	0.16451259046688646	0.0608591711198068	0.15002045640529058	0.019708645069424702	0.01932690012277331	0.1909734793248098	0.07535450214512056	0.17309000843635924
18.907563025210084	0.07343934195049512	0.21533043106505104	0.16451259071623905	0.06085917231406748	0.1500204565181387	0.019708645167247102	0.01932690062151473	0.1909734792417178	0.0753545035811707	0.17309000820645268
19.327731092436974	0.07343934282385221	0.2153304310000845	0.1645125907683301	0.06085917306637195	0.1500204565007144	0.019708645233880596	0.019326900958043614	0.1909734790388825	0.07535450457098405	0.17309000796195217
19.747899159663866	0.07343934373221062	0.2153304309838486	0.1645125908960703	0.06085917393090546	0.15002045654317614	0.019708645294400293	0.019326901304983372	0.19097347900890796	0.07535450558540313	0.17309000778741362
20.168067226890756	0.07343934441426755	0.2153304309354668	0.16451259094685464	0.06085917455531792	0.1500204565397693	0.019708645334746717	0.019326901562070287	0.19097347899097578	0.07535450635051384	0.17309000762297935
20.58823529411765	0.07343934487002306	0.2153304308549392	0.16451259092068318	0.060859174939609344	0.15002045649049384	0.019708645354919865	0.01932690172930436	0.19097347898508593	0.0753545068663162	0.17309000746864936
21.008403361344538	0.0734393450994771	0.21533043074226568	0.16451259081755593	0.06085917508377972	0.15002045639534978	0.019708645354919736	0.01932690180668559	0.19097347899123845	0.0753545071328102	0.17309000732442362
21.42857142857143	0.07343934510262969	0.21533043059744633	0.16451259063747284	0.06085917498782906	0.15002045625433713	0.01970864533474633	0.01932690179421398	0.19097347900943334	0.07535450714999584	0.17309000719030218
21.84873949579832	0.07343934523763232	0.21533043051753623	0.16451259055536396	0.06085917506883596	0.15002045618151946	0.01970864533285367	0.019326901838494375	0.19097347900730546	0.07535450730874671	0.17309000709262987
22.26890756302521	0.07343934535411026	0.21533043046178554	0.16451259049778255	0.060859175151684354	0.15002045612900564	0.019708645333096308	0.01932690187797275	0.19097347899844375	0.07535450744494925	0.17309000702034552
22.689075630252102	0.07343934538854563	0.21533043041298158	0.16451259043370495	0.06085917516240568	0.15002045607656658	0.01970864532865446	0.01932690188664886	0.1909734789885881	0.07535450748928235	0.17309000696877683
23.10924369747899	0.07343934534093843	0.21533043037112434	0.16451259036313112	0.060859175100999946	0.15002045602420228	0.019708645319528133	0.0193269018645227	0.1909734789777386	0.07535450744174602	0.1730900069379238
23.529411764705884	0.07343934521128867	0.21533043033621382	0.16451259028606108	0.06085917496746715	0.15002045597191274	0.019708645305717316	0.01932690181159427	0.19097347896589514	0.07535450730234025	0.17309000692778648
23.949579831932773	0.07343934526457557	0.21533043022499618	0.16451259013610317	0.06085917496738725	0.15002045585093088	0.01970864529390708	0.01932690182171968	0.19097347894402658	0.0753545073752449	0.1730900068146216
