NON $ % + - . 0 1 2 3 4 5 6
#NON	g	l	e	c	i	b	k	j	f	d	h	a
13.025210084033613	0.1000859482445535	0.0036875738310052026	0.001617085050272341	0.10409090187199624	0.02676894832545983	0.004723045571762394	0.00987861567910718	0.09995356966910074	0.020565294540648146	0.11879627896007504	0.02009876487277496	0.0016933837718981545
13.445378151260504	0.1000550606057164	0.0036831318687309588	0.0016150240469637376	0.10404070998493144	0.026755121337417868	0.00471895967919624	0.00987051496447338	0.09990890941710105	0.02055323712594617	0.11876300700458323	0.0200784150504381	0.0016919260750683242
13.865546218487395	0.10003114017799664	0.003679694628917981	0.0016134261371047451	0.10400181990949921	0.02674436576381475	0.004715785099845583	0.00986422100486358	0.09987430408308202	0.020543857758566743	0.11873722924229581	0.020062642173825463	0.0016907936490198905
14.285714285714286	0.10001261524640565	0.003677032115495563	0.0016121863230791798	0.10397167108086085	0.02673600550592164	0.0047133179074138	0.009859330635343624	0.09984747440294793	0.020536567787411832	0.11871726336436186	0.02005041105786806	0.001689913449552341
14.705882352941178	0.09999825622546292	0.0036749675848361998	0.0016112236136643363	0.10394828274919664	0.02672950442993444	0.004711399791138807	0.009855529184960684	0.09982665954559188	0.020530899238295337	0.11870178517772786	0.020040919511940706	0.0016892290943807803
15.126050420168067	0.09998712395029487	0.003673366192319889	0.0016104759901550917	0.10393013666030876	0.02672445031066651	0.004709908812522146	0.009852574627981617	0.09981050921683075	0.02052649251680598	0.11868978346252614	0.02003355313709525	0.0016886971043337353
15.546218487394958	0.0999784976492379	0.003672124582867624	0.0016098957619930317	0.10391606617391745	0.02672052445895767	0.00470875083788824	0.00985028016249139	0.09979798565665227	0.020523069628290175	0.11868048217221269	0.020027839557441134	0.0016882839166211824
15.966386554621849	0.09997179942449379	0.003671159923998907	0.0016094446024596863	0.10390513454869718	0.02671746999836655	0.00470784997835409	0.009848495277805788	0.09978825551121022	0.020520406542798707	0.11867325897965028	0.02002339937734941	0.0016879624632501079
16.386554621848738	0.09996659793849982	0.003670410397120103	0.0016090938261698804	0.10389664120024691	0.026715093857617292	0.004707149269656286	0.009847107011090598	0.09978069533238058	0.020518334890687863	0.11866764925958971	0.020019948829765214	0.001687712426798056
16.80672268907563	0.0999625576368023	0.0036698278775227607	0.0016088210629020413	0.10389004109867268	0.02671324547026934	0.004706604231528558	0.009846027205275885	0.09977482021525538	0.020516723380976855	0.11866329149642596	0.020017266880092813	0.001687517936036367
17.22689075630252	0.09995942019132827	0.003669375324028432	0.0016086090600242445	0.10388491439178817	0.026711808556112382	0.004706180494565237	0.009845187775636671	0.09977025664697438	0.02051547063725749	0.11865990721344914	0.02001518322191887	0.0016873667226798257
17.647058823529413	0.09995698492806282	0.003669023895232233	0.0016084443669424828	0.1038809336309346	0.026710692116614167	0.004705851242330312	0.009844535563717375	0.09976671307617334	0.020514497318778916	0.11865728009106402	0.020013565130403418	0.0016872492208308723
18.067226890756302	0.09995509274287512	0.003668750656670899	0.0016083162819749831	0.10387783879230386	0.02670982339657924	0.004705595158471353	0.009844028235166096	0.09976395784098971	0.02051373994168632	0.11865523890132876	0.02001230702723503	0.001687157841434069
18.487394957983195	0.09995362216667693	0.0036685382446173874	0.0016082166864094802	0.10387543359618853	0.026709147330461827	0.004705396036948493	0.00984363365496854	0.09976181651453662	0.020513150456493344	0.11865365269863888	0.020011328937960704	0.0016870868074337247
18.907563025210084	0.09995247898780878	0.00366837320754528	0.0016081392891138502	0.1038735653144519	0.026708622243334548	0.004705241266887973	0.009843327037337816	0.0997601535889107	0.020512692641979316	0.11865241906071043	0.020010569068622384	0.001687031582155505
19.327731092436974	0.09995159120565711	0.0036682448991536046	0.0016080791105931482	0.10387211259753172	0.02670821512325099	0.004705120879215961	0.009843088779529835	0.0997588605734809	0.02051233784123939	0.11865146060927213	0.02000997855228583	0.0016869885805679535
19.747899159663866	0.09995090213263842	0.0036681451041115963	0.001608032299584881	0.10387098266946818	0.026707898413997566	0.004705027230714213	0.009842903443311252	0.09975785439614483	0.020512061852479568	0.11865071764354412	0.020009519287513447	0.0016869551298388749
20.168067226890756	0.09995036529332638	0.0036680675245674248	0.0016079959012954082	0.10387010469932147	0.026707650316741015	0.004704954474467553	0.009842759082800233	0.09975707253193289	0.020511845414236965	0.1186501391723787	0.020009161922097476	0.001686929209453003
20.58823529411765	0.09994994659535558	0.0036680070879275438	0.0016079675444469804	0.103869420794422	0.02670745730334046	0.0047048977807969536	0.009842646648093749	0.09975646381808655	0.02051167705402888	0.11864968690716862	0.02000888358315328	0.001686909001466162
21.008403361344538	0.0999496221046844	0.003667960120497989	0.001607945508247152	0.10386888922288061	0.026707308355353957	0.0047048536860894155	0.00984255941431492	0.09975599063694293	0.02051154726913479	0.11864933665206794	0.020008667483771277	0.0016868932453666073
21.42857142857143	0.09994936988795419	0.0036679236471727785	0.001607928393693237	0.10386847648475252	0.02670719218580318	0.004704819456055543	0.009842491597504737	0.09975562320169633	0.020511445983789033	0.11864906444891798	0.02000849958040314	0.0016868810320523411
21.84873949579832	0.09994917554628464	0.00366789548678269	0.0016079151806323404	0.10386815780392301	0.026707103113484763	0.004704793007176103	0.009842439322628408	0.09975533950571873	0.020511368403159834	0.11864885487356348	0.020008370066601718	0.0016868715722778242
22.26890756302521	0.09994902618304208	0.003667873771553137	0.0016079049931676443	0.10386791202929754	0.026707035266456618	0.004704772585327358	0.009842399129050897	0.09975512072531877	0.020511309416774037	0.11864869401433313	0.020008270356097244	0.001686864237503656
22.689075630252102	0.09994891293589195	0.0036678573961793307	0.001607897307972076	0.1038677267644287	0.026706982977927177	0.0047047572180784055	0.009842368659042164	0.09975495578371969	0.0205112638125928	0.11864857178429773	0.02000819495619355	0.001686858758883554
23.10924369747899	0.09994882170481273	0.003667844271614855	0.0016078911466924362	0.10386757832061064	0.02670694025387313	0.0047047449263346525	0.009842344123078179	0.09975482360931459	0.020511226447237994	0.11864847311487119	0.0200081343711072	0.00168685440643751
23.529411764705884	0.09994875084251877	0.003667834086145124	0.0016078863648818175	0.10386746312732895	0.026706906987108807	0.004704735390423311	0.009842325065984217	0.09975472103978095	0.020511197339356566	0.11864839644536493	0.020008087333228574	0.001686851033829728
23.949579831932773	0.09994869295799452	0.003667825761178845	0.0016078824568300865	0.1038673689682963	0.026706879874040763	0.004704727594451474	0.009842309501284553	0.09975463720321659	0.020511173625108903	0.11864833382872761	0.02000804890121241	0.0016868482738344377
24.369747899159663	0.09994864801401683	0.003667819262092241	0.0016078794068348054	0.10386729543932349	0.026706859139004082	0.004704721495222762	0.00984229741105728	0.09975457174372482	0.020511155542711566	0.11864828531377386	0.02000801897981207	0.0016868460987868109
24.789915966386555	0.09994861248316553	0.003667814088140261	0.0016078769796734225	0.10386723687979389	0.026706843071212932	0.004704716626284507	0.009842287847895112	0.09975451961930532	0.020511141585949598	0.11864824706690691	0.020007995242029456	0.0016868443464719903
25.210084033613445	0.09994858497588217	0.0036678100678838718	0.0016078750940263127	0.10386719137085693	0.026706830754628527	0.0047047128377250575	0.009842280440625479	0.09975447911318575	0.020511130909527043	0.11864821750272865	0.02000797682946478	0.001686842976841401
25.630252100840337	0.09994856370484206	0.00366780696355744	0.001607873637800753	0.10386715623468964	0.02670682118221559	0.004704709914027533	0.00984227471203687	0.09975444783720767	0.02051112260381687	0.11864819462943658	0.02000796260049906	0.0016868419220981683
26.050420168067227	0.0999485471074442	0.0036678045645123594	0.0016078725117402344	0.10386712909765125	0.02670681349577625	0.004704707663156	0.00984227024404895	0.09975442367474878	0.020511115896906112	0.11864817671452521	0.02000795155024234	0.00168684112053942
26.47058823529412	0.09994853510886238	0.003667802811462762	0.0016078716893950765	0.10386710925630502	0.02670680810946663	0.004704706011405069	0.009842267011625029	0.09975440601339088	0.020511111225941254	0.11864816381716185	0.02000794351897094	0.0016868405239435053
26.89075630252101	0.09994852583883855	0.003667801459472928	0.0016078710551288087	0.1038670939559695	0.026706803928756066	0.004704704738361943	0.009842264514961438	0.09975439239439332	0.02051110759692463	0.11864815384325195	0.020007937320110986	0.0016868400651039136
27.310924369747898	0.09994851855992169	0.0036678004043449227	0.0016078705599702385	0.10386708201932807	0.026706800589771394	0.004704703747177593	0.009842262555776828	0.09975438176856793	0.02051110468859216	0.11864814599080208	0.020007932468022616	0.0016868397106251673
27.73109243697479	0.09994851334497264	0.003667799658314626	0.001607870209570352	0.1038670735865551	0.026706798102862177	0.004704703050099829	0.009842261152678777	0.09975437425829797	0.020511102506471108	0.11864814033797103	0.020007929013768574	0.0016868394659032943
28.15126050420168	0.09994850887745295	0.003667799033974958	0.0016078699159223484	0.10386706653879221	0.026706795836717867	0.004704702472313827	0.009842259952386788	0.09975436797713451	0.020511100495756756	0.11864813545376676	0.02000792608815576	0.0016868392698205612
28.571428571428573	0.09994850535125378	0.0036677985438466785	0.0016078696853293933	0.10386706100777389	0.02670679402482046	0.004704702019737048	0.009842259005489826	0.0997543630472774	0.020511098884425566	0.11864813159029615	0.020007923785248485	0.0016868391174464448
28.991596638655462	0.09994850275488401	0.0036677981743565126	0.0016078695117496583	0.10386705683230116	0.02670679277239095	0.004704701675155192	0.009842258307686652	0.09975435932897439	0.020511097782936187	0.11864812876809416	0.020007922070502004	0.0016868389972388058
29.411764705882355	0.0999485003876414	0.003667797824366215	0.001607869347714651	0.10386705286816476	0.02670679175423897	0.004704701343729638	0.00984225767047843	0.09975435580342831	0.020511096907387297	0.11864812623059925	0.02000792047779223	0.001686838875468599
29.831932773109244	0.09994849836489919	0.0036677975384013474	0.0016078692133288737	0.10386704963749553	0.026706790761174392	0.004704701077781341	0.009842257127097616	0.09975435292572105	0.02051109603118861	0.11864812402753483	0.020007919146143402	0.001686838783564655
30.252100840336134	0.09994849691319171	0.0036677973372564597	0.0016078691186945263	0.10386704736761214	0.026706790011151327	0.004704700892285151	0.00984225673764361	0.09975435090259789	0.020511095363463003	0.1186481224351228	0.020007918199756086	0.0016868387213560634
30.672268907563026	0.09994849539174287	0.003667797132996417	0.0016078690223987624	0.1038670450669646	0.02670678916220604	0.004704700706534367	0.009842256329833323	0.09975434884923837	0.020511094598299418	0.11864812074993697	0.020007917222291945	0.0016868386622911876
31.092436974789916	0.09994849434304078	0.0036677969788824582	0.001607868950146723	0.10386704332186446	0.026706788702699432	0.0047047005609424635	0.009842256047683585	0.09975434729690517	0.02051109420160619	0.11864811962345491	0.020007916518834292	0.001686838609202776
31.51260504201681	0.09994849338278487	0.003667796837184129	0.0016078688837287934	0.10386704171696648	0.02670678828667487	0.00470470042688039	0.00984225578917235	0.09975434586924987	0.02051109384333217	0.11864811859416757	0.020007915873261003	0.0016868385600841
