NON $ % + - . 0 1 2
#NON	c	e	h	a	g	b	d	f
21.84873949579832	0.1897980116761801	0.1793226852841762	0.030493878113563282	0.2045375624855135	0.2536217207063065	0.14548128264802052	0.18564577149522363	0.16067632510275767
22.26890756302521	0.18979801041650454	0.17932268374485325	0.030493877729469848	0.2045375616443649	0.2536217194814506	0.14548128174912134	0.18564576954306328	0.16067632406812515
22.689075630252102	0.18979801017622844	0.17932268345156083	0.03049387765602377	0.20453756149169733	0.2536217192478305	0.14548128157765475	0.18564576917048634	0.16067632387137015
23.10924369747899	0.18979801003290356	0.17932268327658776	0.030493877612218296	0.20453756140015944	0.25362171910848785	0.1454812814753892	0.18564576894824308	0.16067632375399735
23.529411764705884	0.189798009961342	0.17932268318919473	0.030493877590352818	0.2045375613538698	0.2536217190389295	0.1454812814243463	0.18564576883727693	0.16067632369538334
23.949579831932773	0.18979800988978043	0.1793226831018017	0.030493877568487343	0.20453756130758013	0.25362171896937113	0.1454812813733034	0.18564576872631078	0.16067632363676934
24.369747899159663	0.1897980098182189	0.17932268301440865	0.03049387754662187	0.20453756126129047	0.2536217188998128	0.14548128132226051	0.18564576861534463	0.16067632357815534
24.789915966386555	0.18979800974665734	0.17932268292701561	0.030493877524756394	0.20453756121500083	0.25362171883025436	0.1454812812712176	0.18564576850437847	0.16067632351954134
25.210084033613445	0.18979800967509577	0.17932268283962258	0.03049387750289092	0.20453756116871116	0.253621718760696	0.1454812812201747	0.18564576839341232	0.16067632346092733
25.630252100840337	0.18979800962199475	0.1793226827747715	0.030493877486666612	0.20453756113432697	0.2536217187090824	0.14548128118230033	0.185645768311072	0.1606763234174326
26.050420168067227	0.18979800960067814	0.17932268274873217	0.030493877480155016	0.20453756112044105	0.2536217186883653	0.14548128116709888	0.18564576827801824	0.16067632339996957
26.47058823529412	0.18979800957936152	0.1793226827226928	0.030493877473643415	0.2045375611065551	0.25362171866764815	0.1454812811518974	0.1856457682449645	0.1606763233825065
26.89075630252101	0.18979800955804493	0.17932268269665347	0.030493877467131815	0.20453756109266916	0.253621718646931	0.14548128113669595	0.18564576821191076	0.16067632336504345
27.310924369747898	0.18979800953672832	0.17932268267061413	0.030493877460620215	0.20453756107878324	0.25362171862621385	0.14548128112149447	0.185645768178857	0.1606763233475804
27.73109243697479	0.1897980095154117	0.17932268264457477	0.030493877454108614	0.2045375610648973	0.25362171860549676	0.14548128110629302	0.18564576814580325	0.16067632333011736
28.15126050420168	0.1897980094973175	0.17932268262247175	0.03049387744858138	0.20453756105311008	0.2536217185879114	0.14548128109338954	0.18564576811774622	0.16067632331529416
28.571428571428573	0.18979800949611908	0.17932268262100753	0.030493877448215363	0.20453756105232695	0.2536217185867467	0.14548128109253497	0.18564576811588798	0.16067632331431222
