,,,Slide ID,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
,,,Antibody Name,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
,,,HUGO ID,G12,G6,G5,G4,G8,G10,G9,G11,G2,G1,G7,G3,G13
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,40.909090909090914,0.2592739388306081,0.2315520233230071,0.04797812833572631,0.18412006685221563,1.0,0.3162776314810951,0.7547472861636174,0.054826954104356646,0.19100756479790504,0.221027051101057,0.6956684008865726,0.6585102624645508,1.0
C1,no,Insulin,41.41414141414142,0.2592739388306081,0.2315520233230071,0.04797812833571778,0.18412006685217092,1.0,0.3162776314810093,0.7547472861636267,0.05482695410432515,0.1910075647979506,0.2210270511010446,0.6956684008862637,0.6585102624645508,1.0
C1,no,Insulin,41.919191919191924,0.2592739388306081,0.23155202332300712,0.047978128335709254,0.1841200668521262,1.0,0.3162776314809235,0.7547472861636361,0.054826954104293654,0.19100756479799616,0.22102705110103218,0.6956684008859547,0.6585102624645508,1.0
C1,no,Insulin,42.42424242424243,0.2592739388306082,0.23155202332300712,0.047978128335700726,0.18412006685208146,1.0,0.31627763148083776,0.7547472861636454,0.05482695410426216,0.1910075647980417,0.22102705110101978,0.6956684008856457,0.6585102624645507,1.0
C1,no,Insulin,42.929292929292934,0.2592739388306082,0.23155202332300714,0.0479781283356922,0.18412006685203675,1.0,0.31627763148075194,0.7547472861636547,0.05482695410423067,0.19100756479808728,0.22102705110100737,0.6956684008853369,0.6585102624645507,1.0
C1,no,Insulin,43.43434343434344,0.2592739388306082,0.23155202332300714,0.04797812833568367,0.18412006685199203,1.0,0.3162776314806662,0.754747286163664,0.054826954104199174,0.19100756479813283,0.22102705110099496,0.6956684008850279,0.6585102624645507,1.0
C1,no,Insulin,43.939393939393945,0.2592739388306082,0.23155202332300714,0.04797812833567514,0.1841200668519473,1.0,0.3162776314805804,0.7547472861636734,0.05482695410416768,0.1910075647981784,0.22102705110098253,0.6956684008847189,0.6585102624645507,1.0
C1,no,Insulin,44.44444444444445,0.2592739388306082,0.23155202332300717,0.047978128335666614,0.18412006685190258,1.0,0.31627763148049465,0.7547472861636827,0.05482695410413618,0.19100756479822395,0.22102705110097012,0.6956684008844101,0.6585102624645506,1.0
C1,no,Insulin,44.949494949494955,0.2592739388306082,0.23155202332300717,0.047978128335658086,0.18412006685185786,1.0,0.3162776314804088,0.754747286163692,0.05482695410410469,0.1910075647982695,0.22102705110095772,0.6956684008841011,0.6585102624645506,1.0
C1,no,Insulin,45.45454545454546,0.2592739388306082,0.23155202332300717,0.04797812833564956,0.18412006685181312,1.0,0.31627763148032306,0.7547472861637015,0.05482695410407319,0.19100756479831507,0.2210270511009453,0.6956684008837921,0.6585102624645506,1.0
